"Observation"	"Value"
171	1.14091810869891e-07
172	1.14091810869891e-07
173	1.14091810869891e-07
174	1.14091810869891e-07
175	1.14091810869891e-07
176	1.14091810869891e-07
177	4.14963681175592e-07
178	4.14963681175592e-07
179	4.14963681175592e-07
180	4.14963681175592e-07
181	4.14963681175592e-07
182	4.20729268060695e-07
183	4.24203858198246e-07
184	4.24203858198246e-07
185	4.30624626366913e-07
186	4.33644102052562e-07
187	4.33644102052562e-07
188	4.4003604590969e-07
189	4.41265494406818e-07
190	4.41265494406818e-07
191	4.46705210038072e-07
192	4.47787292015212e-07
193	4.47787292015212e-07
194	4.52307491864383e-07
195	4.55934461527709e-07
196	4.56915771225284e-07
197	4.56915771225284e-07
198	4.63009028946244e-07
199	4.65316639210633e-07
200	4.70070710592043e-07
201	4.75941793524705e-07
202	4.80053055614085e-07
203	4.80053055614085e-07
204	4.80053055614085e-07
205	4.80053055614085e-07
206	4.86451490474026e-07
207	4.86451490474026e-07
208	4.86451490474026e-07
209	4.86451490474026e-07
210	4.86451490474026e-07
211	4.91898082848336e-07
212	4.99436762359261e-07
213	4.99436762359261e-07
214	4.99436762359261e-07
215	5.06783472888005e-07
216	5.13583936687052e-07
217	5.13583936687052e-07
218	5.13583936687052e-07
219	5.19127766601728e-07
220	5.51996140291692e-07
221	5.51996140291692e-07
222	5.51996140291692e-07
223	5.64007204035378e-07
224	5.64007204035378e-07
225	5.64007204035378e-07
226	5.64007204035378e-07
227	5.64007204035378e-07
228	5.64007204035378e-07
229	5.6429917381664e-07
230	5.65066856201342e-07
231	5.65066856201342e-07
232	5.65066856201342e-07
233	5.65066856201342e-07
234	5.65066856201342e-07
235	5.65066856201342e-07
236	5.65066856201342e-07
237	5.65066856201342e-07
238	5.65066856201342e-07
239	5.65066856201342e-07
240	5.65066856201342e-07
241	5.65066856201342e-07
242	5.65066856201342e-07
243	5.65066856201342e-07
244	5.65066856201342e-07
245	5.65066856201342e-07
246	5.65066856201342e-07
247	5.65066856201342e-07
248	5.65066856201342e-07
249	5.65066856201342e-07
250	5.65066856201342e-07
251	5.65066856201342e-07
252	5.65066856201342e-07
253	5.65066856201342e-07
254	5.65066856201342e-07
255	5.65066856201342e-07
256	5.65066856201342e-07
