"Observation"	"Value"
350	2.937336445
351	2.95536685
352	2.96723628
353	2.977312803
354	2.992112398
355	3.003386974
356	3.021590233
357	3.03744626
358	3.048145056
359	3.056462765
360	3.114900112
361	3.183968067
362	3.249754906
363	3.249754906
364	3.315942764
365	3.327712774
366	3.331799746
367	3.34994936
368	3.365922689
369	3.389042377
370	3.404189587
371	3.410898447
372	3.423803091
373	3.442876339
374	3.450133801
375	3.462785721
376	3.484788418
377	3.49617219
378	3.509663105
379	3.525971651
380	3.542477608
381	3.556039095
382	3.56688571
383	3.582306623
384	3.605414629
385	3.621755362
386	3.637964964
387	3.660891294
388	3.660891294
389	3.683992147
390	3.683992147
391	3.71633935
392	3.726367474
393	3.747532606
394	3.766354084
395	3.788991213
396	3.817285061
397	3.835042953
398	3.853926897
399	3.867701054
400	3.888608456
401	3.901401758
402	3.912260771
403	3.948733568
404	3.994334936
405	3.994334936
406	4.026482582
407	4.042519569
408	4.060311317
409	4.078927994
410	4.094639301
411	4.115938663
412	4.151033401
413	4.155927181
414	4.188548565
415	4.224008083
416	4.238775253
417	4.245029449
418	4.267506123
419	4.280434608
420	4.293489933
421	4.310896397
422	4.340583324
423	4.359441757
424	4.367940903
425	4.38754797
426	4.411889553
427	4.419441223
428	4.428600788
429	4.439623833
430	4.462509632
431	4.491575241
432	4.497325897
433	4.500473499
434	4.514978886
435	4.541989803
436	4.580722332
437	4.586063862
438	4.618572235
439	4.638494015
440	4.653806686
441	4.667302132
442	4.6820755
443	4.714752674
444	4.728797913
445	4.75208807
446	4.768918991
447	4.800114632
448	4.825844288
449	4.837225437
450	4.853998184
451	4.884216309
452	4.895910263
453	4.907629967
454	4.966380119
455	4.992406845
456	4.999256134
457	5.081834793
458	5.127971649
459	5.135430336
460	5.167639256
461	5.214774132
462	5.223883629
463	5.263039589
464	5.29210186
465	5.327582836
466	5.344012737
467	5.380421162
468	5.39285183
469	5.432367802
470	5.44927454
471	5.483475208
472	5.49978447
473	5.527383804
474	5.553790092
475	5.570471287
