"Observation"	"Value"
1	0
2	1.99822320948822
3	1.99822318563092
4	1.99822318563092
5	1.99822296913655
6	1.99822275014844
7	1.99822253625924
8	1.99822251502273
9	1.99822230578268
10	1.99822203228681
11	1.9982218002752
12	1.99822633414796
13	1.99824131205091
14	1.99825922616321
15	1.99828513066137
16	1.99831509928869
17	1.99834780738527
18	1.99837135108201
19	1.9983920775882
20	1.99841016316504
21	1.99842549420464
22	1.99843319687399
23	1.99844265671182
24	1.99845275497174
25	1.99845931341188
26	1.99846464505559
27	1.99847050590114
28	1.99847432802103
29	1.99847893925749
30	1.99848161080967
31	1.99848696055536
32	1.99849421681046
33	1.99850029643196
34	1.99850510765688
35	1.99851437404618
36	1.9985207756669
37	1.99852779450369
38	1.99853470632275
39	1.99854686228255
40	1.99855446280344
41	1.99856430381305
42	1.9985703980298
43	1.99858186799855
44	1.99859070404544
45	1.99860262864293
46	1.9986149346784
47	1.99862729037546
48	1.99863467012527
49	1.99864527400414
50	1.99865433760966
51	1.99866514243101
52	1.99867889303163
53	1.99869387217112
54	1.99870316615533
55	1.99871593032214
56	1.99872829053854
57	1.99873777775546
58	1.99874657540557
59	1.99876694467569
60	1.99878660613044
61	1.99880420142245
62	1.99882446486983
63	1.9988465255819
64	1.99886733088511
65	1.9988848899562
66	1.99890902964755
67	1.99893100498743
68	1.99896289960039
69	1.99898442446263
70	1.99902121409341
71	1.99904854286893
72	1.99908738451551
73	1.99911474546524
74	1.99915420028874
75	1.99917948356803
76	1.99920731361426
77	1.99923011170948
78	1.9992596068613
79	1.99928491143393
80	1.99930702153984
81	1.99932873365823
82	1.99934450397815
83	1.99937575714876
84	1.99940014927286
85	1.99942895908805
86	1.99942895908805
87	1.999460234294
88	1.99950742368544
89	1.99952929618147
90	1.99955880685582
91	1.99958489586025
92	1.99964480591755
93	1.99964031406879
94	1.99963339179599
95	1.99962669186706
96	1.99962036415529
97	1.99961523768298
98	1.99961111673052
99	1.9996047211215
100	1.99959882734064
101	1.99959423240871
102	1.99958937123691
103	1.99958403149724
104	1.999578626993
105	1.99957513809712
106	1.99956997111264
107	1.99956499914751
108	1.9995605495313
109	1.99955696863025
110	1.99955256922077
111	1.99954780179501
112	1.99954531995096
113	1.99954314938593
114	1.99953937489334
115	1.99953727161191
116	1.99953461671895
117	1.99953226725382
118	1.99952935551918
119	1.99952691180591
120	1.99952293272692
121	1.99951644487885
122	1.99951791181234
